Language	Index	Text
en	0	🔍 Big Five Personality Test + Career Recommender
en	1	Please rate the following statements based on your true feelings: **1 (Strongly Disagree) to 6 (Strongly Agree)**
en	2	Select your gender:
en	3	Enter your age:
en	4	Sorry, your age does not meet the requirements.
en	5	👇 Please fill in your questionnaire answers
en	6	Please answer all questions before submitting.
en	7	✅Top-10 Recommended Careers
en	8	❌Bottom-10 Least Recommended Careers
en	9	🎯 Submit and Recommend Careers
en	10	Female, Male
fr	0	🔍 Test de personnalité Big Five + Recommandation de carrière
fr	1	Veuillez évaluer les déclarations suivantes en fonction de vos véritables sentiments : **1 (Pas du tout d'accord) à 6 (Tout à fait d'accord)**
fr	2	Sélectionnez votre sexe :
fr	3	Entrez votre âge :
fr	4	Désolé, votre âge ne répond pas aux exigences.
fr	5	👇 Veuillez remplir vos réponses au questionnaire
fr	6	Veuillez répondre à toutes les questions avant de soumettre.
fr	7	✅Top-10 Carrières recommandées
fr	8	❌Bottom-10 Carrières les moins recommandées
fr	9	🎯 Soumettre et recommander des carrières
fr	10	Femme, Homme
es	0	🔍 Test de personalidad Big Five + Recomendación de carrera
es	1	Por favor, califique las siguientes afirmaciones según sus verdaderos sentimientos: **1 (Totalmente en desacuerdo) a 6 (Totalmente de acuerdo)**
es	2	Seleccione su género:
es	3	Ingrese su edad:
es	4	Lo siento, su edad no cumple con los requisitos.
es	5	👇 Por favor, complete sus respuestas al cuestionario
es	6	Por favor, responda todas las preguntas antes de enviar.
es	7	✅Top-10 Carreras recomendadas
es	8	❌Bottom-10 Carreras menos recomendadas
es	9	🎯 Enviar y recomendar carreras
es	10	Mujer, Hombre
ar	0	🔍 اختبار الشخصية Big Five + توصية المهن
ar	1	يرجى تقييم العبارات التالية بناءً على مشاعرك الحقيقية: **1 (لا أوافق بشدة) إلى 6 (أوافق بشدة)**
ar	2	حدد جنسك:
ar	3	أدخل عمرك:
ar	4	عذرًا، عمرك لا يتوافق مع المتطلبات.
ar	5	👇 يرجى ملء إجاباتك على الاستبيان
ar	6	يرجى الإجابة على جميع الأسئلة قبل الإرسال.
ar	7	✅أفضل 10 وظائف موصى بها
ar	8	❌أسوأ 10 وظائف غير موصى بها
ar	9	🎯 إرسال وتوصية الوظائف
ar	10	أنثى, ذكر
ru	0	🔍 Тест личности Big Five + Рекомендатор профессий
ru	1	Пожалуйста, оцените следующие утверждения, основываясь на ваших истинных чувствах: **1 (Совсем не согласен) до 6 (Полностью согласен)**
ru	2	Выберите ваш пол:
ru	3	Введите ваш возраст:
ru	4	Извините, ваш возраст не соответствует требованиям.
ru	5	👇 Пожалуйста, заполните свои ответы на вопросы
ru	6	Пожалуйста, ответьте на все вопросы перед отправкой.
ru	7	✅Топ-10 рекомендуемых профессий
ru	8	❌Топ-10 наименее рекомендуемых профессий
ru	9	🎯 Отправить и рекомендовать профессии
ru	10	Женщина, Мужчина
zh	0	🔍 五大人格测试 + 职业推荐器
zh	1	请根据您的真实感受对以下陈述进行评分：**1（强烈不同意）到 6（强烈同意）**
zh	2	选择您的性别：
zh	3	请输入您的年龄：
zh	4	抱歉，您的年龄不符合要求。
zh	5	👇 请填写您的问卷答案
zh	6	请在提交前回答所有问题。
zh	7	✅最推荐的10类职业
zh	8	❌最不推荐的10类职业
zh	9	🎯 提交并推荐职业
zh	10	女性, 男性
